InstructorID,Name,Expertise,Rating
402,Aaron Pearson,Business,2.89
403,Mary Trevino,Web Development,4.79
404,Kathy Smith,AI & Machine Learning,4.43
405,Christopher Jones,Cybersecurity,2.93
406,Taylor Hawkins,Health & Wellness,4.17
407,Casey Smith,Marketing,1.42
408,Monica Lynch,Design,3.89
409,Vanessa Ayala,Cybersecurity,5.0
410,Marisa Rodriguez,Cloud Computing,3.62
411,Katie Smith,AI & Machine Learning,2.61
412,Alejandro Ramsey,Design,4.13
413,Ann Lewis,Business,2.12
414,Lisa Jones,Finance,2.53
415,Michaela Mitchell,Data Science,1.94
416,Erin Garner,Data Science,2.27
417,Jamie Goodman,AI & Machine Learning,4.58
418,Jennifer Burns,Data Science,1.21
419,Stephanie Torres,AI & Machine Learning,2.49
420,Sarah Ortiz,Web Development,3.92
421,Teresa Green,Cybersecurity,1.48
422,Allison Lee,AI & Machine Learning,2.88
423,Kenneth Mcdonald,Cloud Computing,4.41
424,Jennifer Webb,Finance,4.99
425,Melissa Douglas,Design,4.61
426,Lisa Tucker,Design,3.84
427,Jay Thompson,Business,4.1
428,Zachary Hardy,Design,1.94
429,Laura Arnold,Data Science,2.42
430,Justin Moore,Cloud Computing,1.29
431,Karen Miller,Web Development,3.32
432,Kim Clark,Business,1.06
433,Jennifer Moore,Data Science,2.95
434,Andrew Alvarez,Design,4.93
435,Shannon Nichols,Business,2.75
436,Eric Ballard,Cloud Computing,1.94
437,James Bryant,Marketing,4.15
438,Micheal Sanchez,Web Development,4.57
439,Deborah Parks,Data Science,3.26
440,Mrs. Cindy Coleman,AI & Machine Learning,4.4
441,Kyle Norton,Design,1.51
442,Lisa Foster,Health & Wellness,3.1
443,Jaime Wright,Data Science,4.32
444,Angel Andersen,AI & Machine Learning,4.42
445,Mrs. Tammie Torres PhD,Data Science,2.02
446,Sarah Chandler,Marketing,4.64
447,Kathleen Salazar,Business,2.99
448,Alex Pruitt,Data Science,4.35
449,Sean Gates,AI & Machine Learning,3.5
450,Cody Reid,Design,2.34
451,Daniel Holmes,Health & Wellness,2.53
452,Joshua Williams,Web Development,1.57
453,Dustin Beltran,Marketing,3.28
454,Terry Davila,Marketing,4.13
455,Ana Campbell,Web Development,2.43
456,Perry Gallegos,Finance,3.02
457,Jocelyn May,Marketing,1.92
458,Gabriella Hood,Marketing,1.09
459,Diamond Lee,Finance,2.47
460,Amy Rasmussen,Cybersecurity,1.14
461,Norma Wagner,Finance,2.81
462,Paul Johnson,Web Development,1.76
463,Ruben Butler,Cloud Computing,4.87
464,Scott Wilson,Web Development,3.95
465,Jonathan Graham,Marketing,4.31
466,Darrell Quinn,AI & Machine Learning,3.91
467,Mary Curtis,Business,3.1
468,Michael Smith,Marketing,4.07
469,Amanda Garcia,Design,4.19
470,Juan Hendricks,Cloud Computing,3.02
471,Daniel Reynolds,Health & Wellness,2.58
472,Elizabeth Mccarty,Marketing,4.58
473,Regina Curtis,Design,4.64
474,Perry Murphy,Cloud Computing,2.41
475,Christine Tate,Marketing,2.01
476,Thomas Anderson,Business,3.35
477,Billy Rodriguez,Cybersecurity,3.96
478,Mitchell Campbell,Finance,3.43
479,Amy Lucas,AI & Machine Learning,2.32
480,Jessica Martinez,Business,4.63
481,Linda Holland,AI & Machine Learning,3.67
482,Michael Washington,Cloud Computing,3.14
483,Tasha Smith,Business,2.75
484,Jeffrey Coleman,Design,3.25
485,Melissa Walker,Business,1.8
486,Tracy Peters,Cloud Computing,2.5
487,David Quinn,Health & Wellness,3.42
488,Emma Delacruz,Marketing,4.65
489,Antonio Mills,Finance,2.14
490,James Valdez,Data Science,2.54
491,Jillian Webb,Design,3.36
492,Mckenzie Jackson,AI & Machine Learning,4.35
493,Jonathan Bowen,Data Science,4.7
494,James Gordon,Marketing,1.38
495,Donald Gordon,Finance,2.01
496,Christopher Williams,Health & Wellness,2.87
497,Cameron Jensen,Design,1.18
498,Cindy Wilson,Marketing,3.48
499,Jasmin Smith,Health & Wellness,2.9
500,Penny Stephens DVM,Finance,1.14
501,Robert Obrien,AI & Machine Learning,3.67
502,Clayton Ramsey,Cybersecurity,2.32
503,Stephanie Mccarthy,Cybersecurity,3.64
504,Carlos Roth,Business,2.68
505,Emily Bright,Cloud Computing,2.59
506,Valerie Torres,Marketing,3.4
507,Paul Green,Health & Wellness,3.5
508,Chris Strickland,Design,2.76
509,Alan Olson,Health & Wellness,3.05
510,Mark James,Marketing,4.17
511,Jessica Stewart,AI & Machine Learning,3.15
512,Spencer Dyer,Marketing,3.27
513,Andrea Santana,Cybersecurity,4.6
514,James Calhoun,Web Development,1.98
515,David Burke,Web Development,3.41
516,Katie Griffith,Marketing,2.63
517,Leslie Martin,Web Development,3.65
518,Sabrina Mckay,Cybersecurity,2.84
519,David Hall,Data Science,2.42
520,Melissa Simpson,Data Science,2.72
521,Juan Wilson,Business,3.6
522,Chelsea Fleming,Cybersecurity,1.83
523,Victoria King,Cloud Computing,2.54
524,Mrs. Megan Wade,Marketing,3.69
525,Jessica Lee,Business,4.46
526,Robert Holmes,Finance,2.25
527,Michael Scott,Finance,3.5
528,Scott Jones,Data Science,1.12
529,Samantha Sullivan,Business,2.2
530,Charles White,Web Development,4.51
531,Jeffrey Jacobs,Design,3.37
532,Justin Hernandez,Finance,1.44
533,Jasmine Williams,Health & Wellness,4.75
534,Alexandra Kelly,Data Science,3.22
535,Jerry Brewer,Marketing,4.59
536,Jeremiah Wang,AI & Machine Learning,4.1
537,Michael Wilson,Data Science,2.97
538,Phillip Oconnor,Cloud Computing,1.08
539,Charles Lowery,Web Development,2.04
540,Brandon Daugherty,AI & Machine Learning,3.95
541,Jimmy Holland PhD,Business,3.59
542,Eric Ponce,Cybersecurity,1.58
543,Sabrina Fowler,Web Development,1.08
544,Jason Roberts,Finance,3.44
545,Erin Nguyen,Cloud Computing,4.45
546,Justin Stanley,Finance,3.45
547,Raymond Bailey,Health & Wellness,3.7
548,Anthony Ortega,Cybersecurity,3.06
549,Robert Mathis,Finance,2.97
550,James Taylor,Design,3.97
551,Andrea Gilbert,Finance,3.78
552,Kathleen Nelson,Cloud Computing,1.28
553,Russell Curtis,AI & Machine Learning,3.42
554,David Conner,Finance,1.12
555,Haley Mcfarland,Business,1.33
556,Charles Miller,Business,2.62
557,Jasmine Santiago,Marketing,4.41
558,Breanna Henry,Cybersecurity,1.21
559,Shelby Swanson,Health & Wellness,1.43
560,Matthew Garcia,Cybersecurity,1.19
561,Sherri Mcdonald,Business,4.39
562,John Brewer,Cybersecurity,2.5
563,Amy Williams,Business,4.73
564,Christine Harper,Marketing,2.9
565,Debra Werner,Web Development,1.1
566,Amanda Richmond,Cloud Computing,3.2
567,Jeffrey Salinas,AI & Machine Learning,1.68
568,Christopher Garcia,Health & Wellness,3.72
569,Bianca Brooks,Cybersecurity,2.66
570,John Miller,Design,2.78
571,Kenneth Perez,Design,3.88
572,Heather Baker,Web Development,1.59
573,Ryan Gibson,Marketing,1.36
574,Martha Eaton,Design,3.61
575,Ricky Cisneros,Health & Wellness,2.97
576,Sandy Chan,Cloud Computing,1.61
577,Michelle Simpson,Design,4.63
578,Steven Soto MD,Data Science,4.6
579,Joshua Jackson,Health & Wellness,1.32
580,Paul Ramos,Marketing,4.18
581,Tyler Lang,Design,1.06
582,Melissa Adams,Finance,1.4
583,Megan Salazar,Design,4.16
584,Christopher Wang,Cybersecurity,1.04
585,Dr. Matthew Oconnor,Design,2.13
586,Kim Mooney,Business,2.4
587,Carly Rodriguez,Cybersecurity,3.58
588,Laura Montes,Finance,2.99
589,Alec Gibson,Data Science,4.27
590,Tyler Sheppard,Business,3.07
591,Jacqueline Howe,AI & Machine Learning,3.43
592,Evan Cox,Health & Wellness,4.41
593,Stephen King,Data Science,2.5
594,Alvin Wells,Design,2.5
595,Maria Blackwell,Health & Wellness,4.45
596,Mrs. Brandy Solis,AI & Machine Learning,3.17
597,Kathleen Rivas DDS,AI & Machine Learning,1.09
598,Colleen Berry,Design,4.32
599,Denise Johnson,Finance,4.36
600,Daniel Brennan,Data Science,2.0
601,Jonathan Mccoy,Finance,2.4
602,Alexis Hayes,Cloud Computing,3.45
603,Kristen Mason,Cloud Computing,4.24
604,Joanna Williams,Cybersecurity,4.67
605,Alexander Ramirez,Business,1.38
606,Alan Becker,Finance,4.08
607,Wesley Cruz,Health & Wellness,4.42
608,Sierra Nunez,Finance,4.52
609,Jose Spencer,Data Science,3.94
610,Kevin Day,Cloud Computing,1.18
611,Sean Hensley,Data Science,1.39
612,Jason Rodriguez,AI & Machine Learning,3.07
613,Jonathan Edwards,Marketing,1.32
614,Lauren Jones,Cybersecurity,1.21
615,Matthew Harvey,Data Science,3.81
616,Daryl Carlson,Health & Wellness,4.83
617,Maria Wright,Marketing,1.6
618,Tyler Price,Business,2.64
619,Todd Hughes,Cybersecurity,1.19
620,Amanda Watts,Finance,4.14
621,Jacqueline Baker,Marketing,3.53
622,Eric Weaver,Cloud Computing,4.5
623,Jason Boyd,Health & Wellness,2.46
624,David Miller,Cloud Computing,4.86
625,Jake Mathis,Cloud Computing,2.31
626,Jean Walker,Data Science,4.13
627,Melissa Perez,Health & Wellness,4.98
628,Jacob Porter,Finance,3.4
629,Carol Barker,Business,2.21
630,Susan Keller,Cybersecurity,4.76
631,Zachary Barrera,Health & Wellness,4.03
632,Keith Martin,Health & Wellness,3.53
633,Danielle Smith,Data Science,1.81
634,Julie Martinez,Marketing,4.0
635,Richard George,Web Development,3.95
636,Wayne Mcneil,Finance,1.57
637,Kelly Jones,Finance,4.0
638,Larry Lyons,Cloud Computing,3.89
639,Robert Wright,Finance,2.03
640,Charles Mendoza,Cloud Computing,1.65
641,Andrew Leon,Health & Wellness,4.81
642,Jose Reyes,Finance,1.84
643,Barbara Mckenzie,AI & Machine Learning,4.97
644,Steven Fisher,Web Development,1.54
645,Brandon Johnson,Health & Wellness,1.61
646,Jason Mendoza,Cybersecurity,3.62
647,Eric Edwards,Cybersecurity,2.92
648,Emily Mendoza,Cloud Computing,3.1
649,Jason Cook,Web Development,3.38
650,Jake Reilly,Cloud Computing,1.89
651,Heather Shelton,Business,2.64
652,Derek Lopez,Marketing,3.82
653,Jorge Moore,Web Development,4.52
654,Melissa Swanson,Cybersecurity,2.87
655,Lorraine Montoya,Web Development,4.29
656,Joe Nicholson,Business,2.41
657,Stacey Hill,Finance,2.5
658,Shawn Kelley,Data Science,2.2
659,Melissa Schwartz,Web Development,2.94
660,Duane Smith,AI & Machine Learning,3.33
661,Amy Noble,Marketing,4.86
662,Christian Phillips,Health & Wellness,3.83
663,Ryan Rojas,Finance,2.84
664,Cody Goodman,Web Development,3.63
665,Holly Reed,Cloud Computing,2.47
666,Pamela Pierce,Cloud Computing,4.91
667,Donna Henderson,Web Development,4.96
668,Ralph Cox,Marketing,4.9
669,Eric Miller,Data Science,3.56
670,Karen Hicks,Finance,4.46
671,Christina Kemp,Data Science,2.61
672,Melissa Garcia,Finance,4.28
673,Devin Andrews,Marketing,4.08
674,Donald Cole,Business,2.53
675,Travis Jones,Cybersecurity,4.43
676,Teresa Compton,Health & Wellness,1.71
677,John Anderson,Finance,4.62
678,Katherine Burnett,Business,3.83
679,Jason Rodriguez,Web Development,1.32
680,Steven Wilson,Cybersecurity,4.32
681,Derrick Vasquez,Business,1.89
682,Jean Walton,AI & Machine Learning,2.45
683,Angela Cowan,Data Science,1.68
684,Tina Allen,Business,1.59
685,Meagan Young,Health & Wellness,3.95
